id,text,timestamp,decoration,citation,
593,decal window onto patient pavilion,9/24/2016,,,
594,,,,,
595,,,,,
596,i take off the top,9/24/2016,,,
597,layer of myself,9/24/2016,,,
598,,,,,
599,,,,,
600,whisper to siri goddess,7/13/2016,,,
601,of patriarchy,7/13/2016,,,
602,,,,,
603,,,,,
604,breasts bared for the attending,9/24/2016,,,
605,physician’s research contracts,9/24/2016,,,
606,,,,,
607,,,,,
608,how small a self in this complex,9/22/2016,,,
609,how much smaller my possible,9/24/2016,,,
610,I N V I S I B L E G R O W T H,9/24/2016,,,
611,,,,,
612,,,,,
613,where is my data center,9/2/2016,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,,,,,
622,where do i start blurred,2/26/2017,,,
623,E I T H E R E X P A N D S,2/26/2017,,,
624,,,,,
625,,,,,
626,until the problem so diffuse,2/27/2017,,,
627,has its hands in everything,2/27/2017,,,
628,,,,,
629,,,,,
630,problem is if,2/14/2017,,,
631,everything's connected,2/14/2017,,,
632,,,,,
633,,,,,
634,it's all about me,2/14/2017,,,
635,self a meme,2/23/2017,,,
636,,,,,
637,,,,,
638,tiny in skype corner,10/13/2016,,,3/4/16
639,listicles find your narcissism score,1/13/2017,,,
640,,,,,
641,,,,,
642,self a whisper,2/19/2017,,,
643,word familiar,2/19/2017,,,
644,,,,,
645,,,,,
646,self-ish,2/19/2017,,,
647,modified by uncertainty,2/19/2017,,,
648,,,,,
649,,,,,
650,i have that too,8/22/2016,,,
651,it’s no big deal,8/22/2016,,,
652,,,,,
653,,,,,
654,to write i i write you,2/26/2017,,,
655,cross it out,2/26/2017,,,
656,,,,,
657,,,,,
658,what data could be selfless?,1/27/2017,,,
659,us beside ourselves prestigitial,1/28/2017,,,
660,,,,,
661,,,,,
662,self an interface,2/23/2017,,,
663,self an indulgence,5/1/2017,,,
664,,,,,
665,,,,,
666,,,,,
667,,,,,
668,,,,,
669,,,,,
670,,,,,
671,,,,,
672,[ I / O ],8/10/2016,,,
673,U N C E R T A I N T Y I N D E X,1/28/2017,,,
674,,,,,
675,,,,,
676,[ is / isn’t ],1/28/2017,,,
677,[ archive / ether ],1/20/2017,,,
678,,,,,
679,,,,,
680,what if certainty is only,11/9/2016,,,
681,ignoring uncertainty,11/9/2016,,,
682,,,,,
683,,,,,
684,i am the doubt,3/28/2016,,,
685,i am known for,3/28/2016,,,
686,,,,,
687,,,,,
688,oldest story about me back,5/23/2016,,,
689,and forth deliberating,5/23/2016,,,
690,,,,,
691,,,,,
692,couldn’t make up mind [ whether /,5/16/2017,,,
693,not ] to be born [ flicker / doubt­­ held,9/27/2016,,,
694,,,,,
695,,,,,
696,where image touches screen,9/27/2016,,,
697,page scrapes past ],9/27/2016,,,
698,,,,,
699,,,,,
700,bounded on either side by incomplete,1/27/2017,,,
701,near the lip the epithelial,8/7/2016,,,
702,,,,,
703,,,,,
704,thins to a cell’s breadth,6/20/2016,,,
705,quantum bit folds binary,9/30/2016,,,
706,,,,,
707,,,,,
708,upon itself,9/30/2016,,,
709,[ either / both ],9/30/2016,,,
710,,,,,
711,,,,,
712,self a failed technology for certainty,5/22/2017,,,
713,self a membrane,6/20/2016,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,i push all your buttons,2/27/2017,,,
723,because i installed them,2/27/2017,,,
724,,,,,
725,,,,,
726,who do i sound like,2/14/2017,,,
727,S H A Z A M F O R T H E S O U L,2/14/2017,,,
728,,,,,
729,,,,,
730,every seven years all cells are replaced,1/14/2017,,,
731,is a myth,1/14/2017,,,
732,,,,,
733,,,,,
734,families are media,5/21/2017,,,
